Business Name,Type,Address,Phone,Website,Opening Hours,Maps URL,Rating,Reviews Count
"La Bonita, kozmetične storitve, Ines Dugonjić s.p.","{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Dunajska c. 56, 1000 Ljubljana, Slovenia",040 597 666,https://www.labonita.si/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=3584291142528666048,4.9,237
"Nails studio Olena Dudka s.p., manikira in podaljševanje nohtov","{'text': 'Nail Salon', 'languageCode': 'en-US'}","Topniška ulica 35, 1000 Ljubljana, Slovenia",070 735 452,https://instagram.com/olena_nails_studio,Monday: 9:30 AM - 6:00 PM | Tuesday: 9:30 AM - 6:00 PM | Wednesday: 9:30 AM - 6:00 PM | Thursday: 9:30 AM - 6:00 PM | Friday: 9:30 AM - 6:00 PM | Saturday: 10:00 AM - 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=1951723668456381720,4.9,35
Nailsbeauty,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Šmartinska c. 106, 1000 Ljubljana, Slovenia",041 373 553,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10754763571225494841,4.9,23
Salon Lienela,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Vojkova cesta 63, 1000 Ljubljana, Slovenia",070 777 747,https://salon-lienela.si/,Monday: 6:30 AM - 8:00 PM | Tuesday: 6:30 AM - 8:00 PM | Wednesday: 6:30 AM - 8:00 PM | Thursday: 6:30 AM - 8:00 PM | Friday: 6:30 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=1543375480064119301,4.9,157
"Čarobna Dolina, Studio Lepote in Zdravja","{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Rojčeva ulica 20, 1000 Ljubljana, Slovenia",030 550 005,https://carobnadolina.eu/,Monday: 9:00 AM - 7:00 PM | Tuesday: 9:00 AM - 7:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 7:00 PM | Saturday: 9:00 AM - 7:00 PM | Sunday: Closed,https://maps.google.com/?cid=6097608944557690056,5,13
Kozmetika in masaže Maša Zidar s.p.,"{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Jalnova ulica 70, 1000 Ljubljana, Slovenia",040 297 859,http://www.studio-mm.si/,Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10732498874125677442,5,39
Center Nohtne Estetike Ljubljana,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Dunajska cesta 56 Pasaža Bežigrajski dvor, Dunajska c. 56, 1000 Ljubljana, Slovenia",041 777 874,https://www.instagram.com/idealnails.si/,Monday: 9:00 AM - 8:00 PM | Tuesday: 9:00 AM - 8:00 PM | Wednesday: 9:00 AM - 8:00 PM | Thursday: 9:00 AM - 8:00 PM | Friday: 9:00 AM - 8:00 PM | Saturday: 9:00 AM - 2:00 PM | Sunday: Closed,https://maps.google.com/?cid=9726765194196794028,4.7,29
QUEEN'S NAILS,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Miklošičeva cesta 15, 1000 Ljubljana, Slovenia",070 479 349,,Monday: 10:00 AM - 6:00 PM | Tuesday: 10:00 AM - 6:00 PM | Wednesday: 10:00 AM - 6:00 PM | Thursday: 10:00 AM - 6:00 PM | Friday: 10:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6321324112276121967,4.5,16
AD Beauty Studio,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Dolenjska cesta 246a, Celovška cesta 111, 1000 Ljubljana, Slovenia",051 607 087,https://adstudio.si/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: 7:00 AM - 12:00 PM | Sunday: Closed,https://maps.google.com/?cid=14602272948974883206,4.9,33
Daily lepotni salon,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Rakuševa ulica 24, 1000 Ljubljana, Slovenia",030 686 546,,Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: 11:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=13020137604504870338,4.8,38
MY OH MY Ljubljana,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Metelkova ulica 15, 1000 Ljubljana, Slovenia",051 675 115,https://www.myohmy.si/,Monday: 10:00 AM - 7:00 PM | Tuesday: 10:00 AM - 7:00 PM | Wednesday: 10:00 AM - 7:00 PM | Thursday: 10:00 AM - 7:00 PM | Friday: 10:00 AM - 7:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=15485331203505230525,4.3,17
Wow nails,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Komenskega ulica 28, 1000 Ljubljana, Slovenia",071 366 369,https://www.instagram.com/wow_nails_si?igsh=bWsydXZvd2l1cDNy,Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:30 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=10633676494844920529,4.3,32
Salon lepote Serenity,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Slovenska cesta 59, 1000 Ljubljana, Slovenia",040 880 790,https://serenity.si/,Monday: 6:30 AM - 10:00 PM | Tuesday: 6:30 AM - 10:00 PM | Wednesday: 6:30 AM - 10:00 PM | Thursday: 6:30 AM - 10:00 PM | Friday: 6:30 AM - 10:00 PM | Saturday: 6:30 AM - 10:00 PM | Sunday: 6:30 AM - 10:00 PM,https://maps.google.com/?cid=5372128525175506635,4.7,182
Nail salon Alesnail,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Knezova ulica 25, 1000 Ljubljana, Slovenia",351 887 5122,https://www.instagram.com/alesnail__?igsh=aDRscGJ4c2t1dzh3&utm_source=qr,,https://maps.google.com/?cid=17802755637761614030,5,7
Glam by Nika - lepotni studio,"{'text': 'Beauty Salon', 'languageCode': 'en-US'}","Vojkova cesta 58, 1000 Ljubljana, Slovenia",069 839 010,http://www.glambynika.si/,,https://maps.google.com/?cid=9865058119704657829,4.6,18
Lepotni center ALOE VERA - masažni in kozmetični salon Ljubljana,"{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Kajuhova ulica 5b, 1000 Ljubljana, Slovenia",041 355 229,http://www.center-aloevera.si/,Monday: 8:00 AM - 8:00 PM | Tuesday: 8:00 AM - 8:00 PM | Wednesday: 8:00 AM - 8:00 PM | Thursday: 8:00 AM - 8:00 PM | Friday: 8:00 AM - 8:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=4300736673277668237,5,603
Nailbar nohtni studio,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Celovška cesta 185, 1000 Ljubljana, Slovenia",040 474 911,https://nailbar.si/,Monday: 5:00 - 9:00 PM | Tuesday: 5:00 - 9:00 PM | Wednesday: 5:00 - 9:00 PM | Thursday: 5:00 - 9:00 PM | Friday: 5:00 - 9:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=9661817692754303490,5,1
Kotiček Za Nohte,"{'text': 'Nail Salon', 'languageCode': 'en-US'}","Zaloška cesta 36, 1000 Ljubljana, Slovenia",,http://koticek-za-nohte.si/,,https://maps.google.com/?cid=10776158549716792883,5,4
"My lepotilnica, Beauty Salon","{'text': 'Skin Care Clinic', 'languageCode': 'en-US'}","Mestni trg 13, 1000 Ljubljana, Slovenia",031 626 306,http://mybeauty.si/,Monday: 9:00 AM - 3:00 PM | Tuesday: 9:00 AM - 3:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6565138292109560750,4.9,59
