Business Name,Type,Address,Phone,Website,Opening Hours,Maps URL,Rating,Reviews Count
"My lepotilnica, Beauty Salon",Skin Care Clinic,"Mestni trg 13, 1000 Ljubljana, Slovenia",031 626 306,http://mybeauty.si/,Monday: 9:00 AM - 3:00 PM | Tuesday: 9:00 AM - 3:00 PM | Wednesday: 9:00 AM - 7:00 PM | Thursday: 9:00 AM - 7:00 PM | Friday: 9:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6565138292109560750,4.9,59
Val__nails_studio,Nail Salon,"Miklošičeva cesta 3, 1000 Ljubljana, Slovenia",071 466 325,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 3:00 PM | Sunday: Closed,https://maps.google.com/?cid=12104077072759574551,5,11
"Nails studio Olena Dudka s.p., manikira in podaljševanje nohtov",Nail Salon,"Topniška ulica 35, 1000 Ljubljana, Slovenia",070 735 452,https://instagram.com/olena_nails_studio,Monday: 9:30 AM - 6:00 PM | Tuesday: 9:30 AM - 6:00 PM | Wednesday: 9:30 AM - 6:00 PM | Thursday: 9:30 AM - 6:00 PM | Friday: 9:30 AM - 6:00 PM | Saturday: 10:00 AM - 4:00 PM | Sunday: Closed,https://maps.google.com/?cid=1951723668456381720,4.9,35
QUEEN'S NAILS,Nail Salon,"Miklošičeva cesta 15, 1000 Ljubljana, Slovenia",070 479 349,,Monday: 10:00 AM - 6:00 PM | Tuesday: 10:00 AM - 6:00 PM | Wednesday: 10:00 AM - 6:00 PM | Thursday: 10:00 AM - 6:00 PM | Friday: 10:00 AM - 6:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6321324112276121967,4.5,16
"La Bonita, kozmetične storitve, Ines Dugonjić s.p.",Beauty Salon,"Dunajska c. 56, 1000 Ljubljana, Slovenia",040 597 666,https://www.labonita.si/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=3584291142528666048,4.9,237
Nailsbeauty,Nail Salon,"Šmartinska c. 106, 1000 Ljubljana, Slovenia",041 373 553,,Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10754763571225494841,4.9,23
Wow nails,Beauty Salon,"Komenskega ulica 28, 1000 Ljubljana, Slovenia",071 366 369,https://www.instagram.com/wow_nails_si?igsh=bWsydXZvd2l1cDNy,Monday: 9:00 AM - 7:30 PM | Tuesday: 9:00 AM - 7:30 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 5:00 PM | Friday: 9:00 AM - 5:00 PM | Saturday: 9:00 AM - 5:00 PM | Sunday: Closed,https://maps.google.com/?cid=10633676494844920529,4.3,32
Kozmetika in masaže Maša Zidar s.p.,Skin Care Clinic,"Jalnova ulica 70, 1000 Ljubljana, Slovenia",040 297 859,http://www.studio-mm.si/,Monday: 6:00 AM - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 6:00 AM - 8:00 PM | Thursday: 6:00 AM - 8:00 PM | Friday: 6:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=10732498874125677442,5,39
Fanči Gallus,Beauty Salon,"Gallusovo nabrežje 39, 1000 Ljubljana, Slovenia",(01) 428 70 14,http://www.fancigallus.si/,Monday: 7:00 AM - 8:00 PM | Tuesday: 7:00 AM - 8:00 PM | Wednesday: 7:00 AM - 8:00 PM | Thursday: 7:00 AM - 8:00 PM | Friday: 7:00 AM - 8:00 PM | Saturday: Closed | Sunday: Closed,https://maps.google.com/?cid=6231451424999649104,4.8,80
Nail salon Alesnail,Nail Salon,"Knezova ulica 25, 1000 Ljubljana, Slovenia",351 887 5122,https://www.instagram.com/alesnail__?igsh=aDRscGJ4c2t1dzh3&utm_source=qr,,https://maps.google.com/?cid=17802755637761614030,5,7
